date,year,day,week,set,time_deployed,count,proportion_female,day_mean_CPUE,day_total_catch,day_WTMP,day_pres,day_WSPD
10/28/1983,1983,301,44,4,,1,NA,23,140,23.19166667,1023.795833,9.45
10/28/1983,1983,301,44,5,,24,NA,23,140,23.19166667,1023.795833,9.45
10/28/1983,1983,301,44,6,,0,NA,23,140,23.19166667,1023.795833,9.45
11/6/1983,1983,310,46,1,,83,NA,110,772,22.07083333,1012.641667,11.55
11/6/1983,1983,310,46,2,,87,NA,110,772,22.07083333,1012.641667,11.55
11/6/1983,1983,310,46,3,,214,NA,110,772,22.07083333,1012.641667,11.55
11/6/1983,1983,310,46,4,,66,NA,110,772,22.07083333,1012.641667,11.55
11/6/1983,1983,310,46,5,,19,NA,110,772,22.07083333,1012.641667,11.55
11/6/1983,1983,310,46,6,,82,NA,110,772,22.07083333,1012.641667,11.55
11/6/1983,1983,310,46,7,,221,NA,110,772,22.07083333,1012.641667,11.55
11/15/1983,1983,319,47,1,,6,NA,18,90,22.55,1018.566667,5.466666667
11/15/1983,1983,319,47,2,,14,NA,18,90,22.55,1018.566667,5.466666667
11/15/1983,1983,319,47,3,,66,NA,18,90,22.55,1018.566667,5.466666667
11/15/1983,1983,319,47,4,,4,NA,18,90,22.55,1018.566667,5.466666667
11/15/1983,1983,319,47,5,,0,NA,18,90,22.55,1018.566667,5.466666667
10/11/1984,1984,285,41,1,,19,NA,43,304,NA,NA,NA
10/11/1984,1984,285,41,2,,4,NA,43,304,NA,NA,NA
10/11/1984,1984,285,41,3,,5,NA,43,304,NA,NA,NA
10/11/1984,1984,285,41,4,,13,NA,43,304,NA,NA,NA
10/11/1984,1984,285,41,5,,117,NA,43,304,NA,NA,NA
10/11/1984,1984,285,41,6,,67,NA,43,304,NA,NA,NA
10/11/1984,1984,285,41,7,,79,NA,43,304,NA,NA,NA
10/18/1984,1984,292,42,1,,81,NA,112,787,NA,NA,NA
10/18/1984,1984,292,42,2,,390,NA,112,787,NA,NA,NA
10/18/1984,1984,292,42,3,,162,NA,112,787,NA,NA,NA
10/18/1984,1984,292,42,4,,106,NA,112,787,NA,NA,NA
10/18/1984,1984,292,42,5,,12,NA,112,787,NA,NA,NA
10/18/1984,1984,292,42,6,,12,NA,112,787,NA,NA,NA
10/18/1984,1984,292,42,7,,24,NA,112,787,NA,NA,NA
10/25/1984,1984,299,43,1,,346,NA,260,1823,NA,NA,NA
10/25/1984,1984,299,43,2,,166,NA,260,1823,NA,NA,NA
10/25/1984,1984,299,43,3,,133,NA,260,1823,NA,NA,NA
10/25/1984,1984,299,43,4,,77,NA,260,1823,NA,NA,NA
10/25/1984,1984,299,43,5,,339,NA,260,1823,NA,NA,NA
10/25/1984,1984,299,43,6,,66,NA,260,1823,NA,NA,NA
10/25/1984,1984,299,43,7,,696,NA,260,1823,NA,NA,NA
11/1/1984,1984,306,44,1,,74,NA,29,175,23.24166667,1025.004167,9.1625
11/1/1984,1984,306,44,2,,24,NA,29,175,23.24166667,1025.004167,9.1625
11/1/1984,1984,306,44,3,,45,NA,29,175,23.24166667,1025.004167,9.1625
11/1/1984,1984,306,44,4,,31,NA,29,175,23.24166667,1025.004167,9.1625
11/1/1984,1984,306,44,5,,1,NA,29,175,23.24166667,1025.004167,9.1625
11/1/1984,1984,306,44,6,,0,NA,29,175,23.24166667,1025.004167,9.1625
11/8/1984,1984,313,45,1,,66,NA,54,324,22.35833333,1021.191667,9.125
11/8/1984,1984,313,45,2,,3,NA,54,324,22.35833333,1021.191667,9.125
11/8/1984,1984,313,45,3,,70,NA,54,324,22.35833333,1021.191667,9.125
11/8/1984,1984,313,45,4,,0,NA,54,324,22.35833333,1021.191667,9.125
11/8/1984,1984,313,45,5,,95,NA,54,324,22.35833333,1021.191667,9.125
11/8/1984,1984,313,45,6,,90,NA,54,324,22.35833333,1021.191667,9.125
11/15/1984,1984,320,46,1,,88,NA,36,178,21.80869565,1026.152174,7.126086957
11/15/1984,1984,320,46,2,,69,NA,36,178,21.80869565,1026.152174,7.126086957
11/15/1984,1984,320,46,3,,4,NA,36,178,21.80869565,1026.152174,7.126086957
11/15/1984,1984,320,46,4,,15,NA,36,178,21.80869565,1026.152174,7.126086957
11/15/1984,1984,320,46,5,,2,NA,36,178,21.80869565,1026.152174,7.126086957
10/24/1985,1985,297,43,1,,88,NA,138,1105,23.5625,1020.858333,7.745833333
10/24/1985,1985,297,43,2,,172,NA,138,1105,23.5625,1020.858333,7.745833333
10/24/1985,1985,297,43,3,,102,NA,138,1105,23.5625,1020.858333,7.745833333
10/24/1985,1985,297,43,4,,55,NA,138,1105,23.5625,1020.858333,7.745833333
10/24/1985,1985,297,43,5,,139,NA,138,1105,23.5625,1020.858333,7.745833333
10/24/1985,1985,297,43,6,,182,NA,138,1105,23.5625,1020.858333,7.745833333
10/24/1985,1985,297,43,7,,236,NA,138,1105,23.5625,1020.858333,7.745833333
11/3/1985,1985,307,45,1,,120,NA,41,243,24.67083333,1010.125,9.05
11/3/1985,1985,307,45,2,,38,NA,41,243,24.67083333,1010.125,9.05
11/3/1985,1985,307,45,3,,36,NA,41,243,24.67083333,1010.125,9.05
11/3/1985,1985,307,45,4,,29,NA,41,243,24.67083333,1010.125,9.05
11/3/1985,1985,307,45,5,,13,NA,41,243,24.67083333,1010.125,9.05
11/3/1985,1985,307,45,6,,7,NA,41,243,24.67083333,1010.125,9.05
11/8/1985,1985,312,45,1,,18,NA,58,466,23.61666667,1016.825,8.695833333
11/8/1985,1985,312,45,2,,43,NA,58,466,23.61666667,1016.825,8.695833333
11/8/1985,1985,312,45,3,,72,NA,58,466,23.61666667,1016.825,8.695833333
11/8/1985,1985,312,45,4,,297,NA,58,466,23.61666667,1016.825,8.695833333
11/8/1985,1985,312,45,5,,0,NA,58,466,23.61666667,1016.825,8.695833333
11/8/1985,1985,312,45,6,,22,NA,58,466,23.61666667,1016.825,8.695833333
11/8/1985,1985,312,45,7,,12,NA,58,466,23.61666667,1016.825,8.695833333
11/14/1985,1985,318,46,1,,252,NA,125,752,24.84782609,1023.178261,4.752173913
11/14/1985,1985,318,46,2,,163,NA,125,752,24.84782609,1023.178261,4.752173913
11/14/1985,1985,318,46,3,,142,NA,125,752,24.84782609,1023.178261,4.752173913
11/14/1985,1985,318,46,4,,79,NA,125,752,24.84782609,1023.178261,4.752173913
11/14/1985,1985,318,46,5,,70,NA,125,752,24.84782609,1023.178261,4.752173913
11/14/1985,1985,318,46,6,,46,NA,125,752,24.84782609,1023.178261,4.752173913
10/18/1986,1986,291,42,1,,119,NA,55,328,24.825,1021.429167,6.770833333
10/18/1986,1986,291,42,2,,103,NA,55,328,24.825,1021.429167,6.770833333
10/18/1986,1986,291,42,3,,67,NA,55,328,24.825,1021.429167,6.770833333
10/18/1986,1986,291,42,4,,27,NA,55,328,24.825,1021.429167,6.770833333
10/18/1986,1986,291,42,5,,7,NA,55,328,24.825,1021.429167,6.770833333
10/18/1986,1986,291,42,6,,5,NA,55,328,24.825,1021.429167,6.770833333
10/23/1986,1986,296,43,1,,274,NA,138,829,24.47916667,1024.929167,1.9125
10/23/1986,1986,296,43,2,,132,NA,138,829,24.47916667,1024.929167,1.9125
10/23/1986,1986,296,43,3,,159,NA,138,829,24.47916667,1024.929167,1.9125
10/23/1986,1986,296,43,4,,114,NA,138,829,24.47916667,1024.929167,1.9125
10/23/1986,1986,296,43,5,,100,NA,138,829,24.47916667,1024.929167,1.9125
10/23/1986,1986,296,43,6,,50,NA,138,829,24.47916667,1024.929167,1.9125
10/30/1986,1986,303,44,1,,533,NA,337,1686,24.52083333,1022.204167,3.7125
10/30/1986,1986,303,44,2,,439,NA,337,1686,24.52083333,1022.204167,3.7125
10/30/1986,1986,303,44,3,,285,NA,337,1686,24.52083333,1022.204167,3.7125
10/30/1986,1986,303,44,4,,214,NA,337,1686,24.52083333,1022.204167,3.7125
10/30/1986,1986,303,44,5,,215,NA,337,1686,24.52083333,1022.204167,3.7125
11/5/1986,1986,309,45,1,,198,NA,69,416,24.45833333,1019.404167,5.8125
11/5/1986,1986,309,45,2,,39,NA,69,416,24.45833333,1019.404167,5.8125
11/5/1986,1986,309,45,3,,23,NA,69,416,24.45833333,1019.404167,5.8125
11/5/1986,1986,309,45,4,,121,NA,69,416,24.45833333,1019.404167,5.8125
11/5/1986,1986,309,45,5,,20,NA,69,416,24.45833333,1019.404167,5.8125
11/5/1986,1986,309,45,6,,15,NA,69,416,24.45833333,1019.404167,5.8125
11/12/1986,1986,316,46,1,,13,NA,158,1105,25.0125,1022.279167,7.325
11/12/1986,1986,316,46,2,,17,NA,158,1105,25.0125,1022.279167,7.325
11/12/1986,1986,316,46,3,,10,NA,158,1105,25.0125,1022.279167,7.325
11/12/1986,1986,316,46,4,,212,NA,158,1105,25.0125,1022.279167,7.325
11/12/1986,1986,316,46,5,,357,NA,158,1105,25.0125,1022.279167,7.325
11/12/1986,1986,316,46,6,,461,NA,158,1105,25.0125,1022.279167,7.325
11/12/1986,1986,316,46,7,,35,NA,158,1105,25.0125,1022.279167,7.325
11/20/1986,1986,324,47,1,,174,NA,85,508,23.5625,1020.745833,6.133333333
11/20/1986,1986,324,47,2,,99,NA,85,508,23.5625,1020.745833,6.133333333
11/20/1986,1986,324,47,3,,70,NA,85,508,23.5625,1020.745833,6.133333333
11/20/1986,1986,324,47,4,,62,NA,85,508,23.5625,1020.745833,6.133333333
11/20/1986,1986,324,47,5,,55,NA,85,508,23.5625,1020.745833,6.133333333
11/20/1986,1986,324,47,6,,48,NA,85,508,23.5625,1020.745833,6.133333333
10/16/1987,1987,289,42,1,,553,NA,190,952,27.225,1018.6875,4.5125
10/16/1987,1987,289,42,2,,89,NA,190,952,27.225,1018.6875,4.5125
10/16/1987,1987,289,42,3,,168,NA,190,952,27.225,1018.6875,4.5125
10/16/1987,1987,289,42,4,,110,NA,190,952,27.225,1018.6875,4.5125
10/16/1987,1987,289,42,5,,32,NA,190,952,27.225,1018.6875,4.5125
10/22/1987,1987,295,43,1,,71,NA,189,1325,26.95,1021.875,8.8125
10/22/1987,1987,295,43,2,,226,NA,189,1325,26.95,1021.875,8.8125
10/22/1987,1987,295,43,3,,48,NA,189,1325,26.95,1021.875,8.8125
10/22/1987,1987,295,43,4,,41,NA,189,1325,26.95,1021.875,8.8125
10/22/1987,1987,295,43,5,,27,NA,189,1325,26.95,1021.875,8.8125
10/22/1987,1987,295,43,6,,125,NA,189,1325,26.95,1021.875,8.8125
10/22/1987,1987,295,43,7,,787,NA,189,1325,26.95,1021.875,8.8125
10/29/1987,1987,302,44,1,,849,NA,429,2576,26.3375,1022.925,4.5125
10/29/1987,1987,302,44,2,,834,NA,429,2576,26.3375,1022.925,4.5125
10/29/1987,1987,302,44,3,,448,NA,429,2576,26.3375,1022.925,4.5125
10/29/1987,1987,302,44,4,,126,NA,429,2576,26.3375,1022.925,4.5125
10/29/1987,1987,302,44,5,,210,NA,429,2576,26.3375,1022.925,4.5125
10/29/1987,1987,302,44,6,,109,NA,429,2576,26.3375,1022.925,4.5125
11/5/1987,1987,309,45,1,,298,NA,282,1977,25.3625,1016.15,8.0125
11/5/1987,1987,309,45,2,,417,NA,282,1977,25.3625,1016.15,8.0125
11/5/1987,1987,309,45,3,,114,NA,282,1977,25.3625,1016.15,8.0125
11/5/1987,1987,309,45,4,,15,NA,282,1977,25.3625,1016.15,8.0125
11/5/1987,1987,309,45,5,,365,NA,282,1977,25.3625,1016.15,8.0125
11/5/1987,1987,309,45,6,,763,NA,282,1977,25.3625,1016.15,8.0125
11/5/1987,1987,309,45,7,,5,NA,282,1977,25.3625,1016.15,8.0125
11/12/1987,1987,316,46,1,,226,NA,139,975,24.5125,1024.6,4.5375
11/12/1987,1987,316,46,2,,132,NA,139,975,24.5125,1024.6,4.5375
11/12/1987,1987,316,46,3,,155,NA,139,975,24.5125,1024.6,4.5375
11/12/1987,1987,316,46,4,,253,NA,139,975,24.5125,1024.6,4.5375
11/12/1987,1987,316,46,5,,0,NA,139,975,24.5125,1024.6,4.5375
11/12/1987,1987,316,46,6,,42,NA,139,975,24.5125,1024.6,4.5375
11/12/1987,1987,316,46,7,,167,NA,139,975,24.5125,1024.6,4.5375
11/19/1987,1987,323,47,1,,80,NA,61,425,24.25,1020.625,9.9625
11/19/1987,1987,323,47,2,,1,NA,61,425,24.25,1020.625,9.9625
11/19/1987,1987,323,47,3,,13,NA,61,425,24.25,1020.625,9.9625
11/19/1987,1987,323,47,4,,87,NA,61,425,24.25,1020.625,9.9625
11/19/1987,1987,323,47,5,,136,NA,61,425,24.25,1020.625,9.9625
11/19/1987,1987,323,47,6,,71,NA,61,425,24.25,1020.625,9.9625
11/19/1987,1987,323,47,7,,37,NA,61,425,24.25,1020.625,9.9625
11/25/1987,1987,329,48,1,,29,NA,46,319,24.0125,1016.05,8.2375
11/25/1987,1987,329,48,2,,35,NA,46,319,24.0125,1016.05,8.2375
11/25/1987,1987,329,48,3,,69,NA,46,319,24.0125,1016.05,8.2375
11/25/1987,1987,329,48,4,,12,NA,46,319,24.0125,1016.05,8.2375
11/25/1987,1987,329,48,5,,5,NA,46,319,24.0125,1016.05,8.2375
11/25/1987,1987,329,48,6,,76,NA,46,319,24.0125,1016.05,8.2375
11/25/1987,1987,329,48,7,,93,NA,46,319,24.0125,1016.05,8.2375
10/19/1988,1988,293,43,1,,16,NA,15,133,22.85416667,1016.170833,3.820833333
10/19/1988,1988,293,43,2,,14,NA,15,133,22.85416667,1016.170833,3.820833333
10/19/1988,1988,293,43,3,,7,NA,15,133,22.85416667,1016.170833,3.820833333
10/19/1988,1988,293,43,4,,42,NA,15,133,22.85416667,1016.170833,3.820833333
10/19/1988,1988,293,43,5,,5,NA,15,133,22.85416667,1016.170833,3.820833333
10/19/1988,1988,293,43,6,,7,NA,15,133,22.85416667,1016.170833,3.820833333
10/19/1988,1988,293,43,7,,10,NA,15,133,22.85416667,1016.170833,3.820833333
10/27/1988,1988,301,44,1,,34,NA,379,2652,22.12173913,1017.93913,2.652173913
10/27/1988,1988,301,44,2,,60,NA,379,2652,22.12173913,1017.93913,2.652173913
10/27/1988,1988,301,44,3,,155,NA,379,2652,22.12173913,1017.93913,2.652173913
10/27/1988,1988,301,44,4,,179,NA,379,2652,22.12173913,1017.93913,2.652173913
10/27/1988,1988,301,44,5,,244,NA,379,2652,22.12173913,1017.93913,2.652173913
10/27/1988,1988,301,44,6,,995,NA,379,2652,22.12173913,1017.93913,2.652173913
10/27/1988,1988,301,44,7,,985,NA,379,2652,22.12173913,1017.93913,2.652173913
11/3/1988,1988,308,45,1,,300,NA,593,6581,20.80416667,1017.429167,3.5125
11/3/1988,1988,308,45,2,,1098,NA,593,6581,20.80416667,1017.429167,3.5125
11/3/1988,1988,308,45,4,,380,NA,593,6581,20.80416667,1017.429167,3.5125
11/11/1988,1988,316,46,1,,148,NA,245,1712,21.53333333,1019.004167,5.170833333
11/11/1988,1988,316,46,2,,101,NA,245,1712,21.53333333,1019.004167,5.170833333
11/11/1988,1988,316,46,3,,52,NA,245,1712,21.53333333,1019.004167,5.170833333
11/11/1988,1988,316,46,4,,84,NA,245,1712,21.53333333,1019.004167,5.170833333
11/11/1988,1988,316,46,5,,382,NA,245,1712,21.53333333,1019.004167,5.170833333
11/11/1988,1988,316,46,6,,408,NA,245,1712,21.53333333,1019.004167,5.170833333
11/11/1988,1988,316,46,7,,537,NA,245,1712,21.53333333,1019.004167,5.170833333
11/20/1988,1988,325,48,1,,163,NA,78,465,21.19166667,1017.395833,5.0125
11/20/1988,1988,325,48,2,,131,NA,78,465,21.19166667,1017.395833,5.0125
11/20/1988,1988,325,48,3,,92,NA,78,465,21.19166667,1017.395833,5.0125
11/20/1988,1988,325,48,4,,41,NA,78,465,21.19166667,1017.395833,5.0125
11/20/1988,1988,325,48,5,,25,NA,78,465,21.19166667,1017.395833,5.0125
11/20/1988,1988,325,48,6,,13,NA,78,465,21.19166667,1017.395833,5.0125
11/23/1988,1988,328,48,1,,73,NA,36,254,20.75,1011.516667,9.504166667
11/23/1988,1988,328,48,2,,7,NA,36,254,20.75,1011.516667,9.504166667
11/23/1988,1988,328,48,3,,29,NA,36,254,20.75,1011.516667,9.504166667
11/23/1988,1988,328,48,4,,36,NA,36,254,20.75,1011.516667,9.504166667
11/23/1988,1988,328,48,5,,15,NA,36,254,20.75,1011.516667,9.504166667
11/23/1988,1988,328,48,6,,53,NA,36,254,20.75,1011.516667,9.504166667
11/23/1988,1988,328,48,7,,41,NA,36,254,20.75,1011.516667,9.504166667
12/1/1988,1988,336,49,1,,76,NA,57,228,19.27083333,1022.170833,6.145833333
12/1/1988,1988,336,49,2,,63,NA,57,228,19.27083333,1022.170833,6.145833333
12/1/1988,1988,336,49,3,,55,NA,57,228,19.27083333,1022.170833,6.145833333
12/1/1988,1988,336,49,4,,34,NA,57,228,19.27083333,1022.170833,6.145833333
10/16/1989,1989,289,42,1,,21,NA,60,418,25.38333333,1021.120833,2.054166667
10/16/1989,1989,289,42,2,,5,NA,60,418,25.38333333,1021.120833,2.054166667
10/16/1989,1989,289,42,3,,5,NA,60,418,25.38333333,1021.120833,2.054166667
10/16/1989,1989,289,42,4,,149,NA,60,418,25.38333333,1021.120833,2.054166667
10/16/1989,1989,289,42,5,,116,NA,60,418,25.38333333,1021.120833,2.054166667
10/16/1989,1989,289,42,6,,80,NA,60,418,25.38333333,1021.120833,2.054166667
10/16/1989,1989,289,42,7,,42,NA,60,418,25.38333333,1021.120833,2.054166667
10/26/1989,1989,299,43,1,,437,NA,207,1243,24.31666667,1022.595833,8.1125
10/26/1989,1989,299,43,2,,293,NA,207,1243,24.31666667,1022.595833,8.1125
10/26/1989,1989,299,43,3,,276,NA,207,1243,24.31666667,1022.595833,8.1125
10/26/1989,1989,299,43,4,,154,NA,207,1243,24.31666667,1022.595833,8.1125
10/26/1989,1989,299,43,5,,74,NA,207,1243,24.31666667,1022.595833,8.1125
10/26/1989,1989,299,43,6,,9,NA,207,1243,24.31666667,1022.595833,8.1125
11/2/1989,1989,306,44,1,,7,NA,20,161,23.97916667,1019.316667,6.85
11/2/1989,1989,306,44,2,,13,NA,20,161,23.97916667,1019.316667,6.85
11/2/1989,1989,306,44,3,,35,NA,20,161,23.97916667,1019.316667,6.85
11/2/1989,1989,306,44,4,,2,NA,20,161,23.97916667,1019.316667,6.85
11/2/1989,1989,306,44,5,,33,NA,20,161,23.97916667,1019.316667,6.85
11/2/1989,1989,306,44,6,,55,NA,20,161,23.97916667,1019.316667,6.85
11/2/1989,1989,306,44,7,,11,NA,20,161,23.97916667,1019.316667,6.85
11/10/1989,1989,314,45,1,,366,NA,275,1928,23.57826087,1010.33913,8.304347826
11/10/1989,1989,314,45,2,,207,NA,275,1928,23.57826087,1010.33913,8.304347826
11/10/1989,1989,314,45,3,,605,NA,275,1928,23.57826087,1010.33913,8.304347826
11/10/1989,1989,314,45,4,,325,NA,275,1928,23.57826087,1010.33913,8.304347826
11/10/1989,1989,314,45,5,,66,NA,275,1928,23.57826087,1010.33913,8.304347826
11/10/1989,1989,314,45,6,,248,NA,275,1928,23.57826087,1010.33913,8.304347826
11/10/1989,1989,314,45,7,,111,NA,275,1928,23.57826087,1010.33913,8.304347826
11/15/1989,1989,319,46,1,,0,NA,48,385,23.34166667,1020.883333,7.879166667
11/15/1989,1989,319,46,2,,52,NA,48,385,23.34166667,1020.883333,7.879166667
11/15/1989,1989,319,46,3,,41,NA,48,385,23.34166667,1020.883333,7.879166667
11/15/1989,1989,319,46,4,,64,NA,48,385,23.34166667,1020.883333,7.879166667
11/15/1989,1989,319,46,5,,142,NA,48,385,23.34166667,1020.883333,7.879166667
11/15/1989,1989,319,46,6,,22,NA,48,385,23.34166667,1020.883333,7.879166667
11/15/1989,1989,319,46,7,,10,NA,48,385,23.34166667,1020.883333,7.879166667
11/22/1989,1989,326,47,1,,332,NA,151,906,22.40833333,1016.333333,6.5625
11/22/1989,1989,326,47,2,,277,NA,151,906,22.40833333,1016.333333,6.5625
11/22/1989,1989,326,47,3,,119,NA,151,906,22.40833333,1016.333333,6.5625
11/22/1989,1989,326,47,4,,113,NA,151,906,22.40833333,1016.333333,6.5625
11/22/1989,1989,326,47,5,,34,NA,151,906,22.40833333,1016.333333,6.5625
11/22/1989,1989,326,47,6,,31,NA,151,906,22.40833333,1016.333333,6.5625
12/1/1989,1989,335,48,1,,81,NA,32,189,21.6625,1019.3125,7.541666667
12/1/1989,1989,335,48,2,,42,NA,32,189,21.6625,1019.3125,7.541666667
12/1/1989,1989,335,48,3,,40,NA,32,189,21.6625,1019.3125,7.541666667
12/1/1989,1989,335,48,4,,23,NA,32,189,21.6625,1019.3125,7.541666667
12/1/1989,1989,335,48,5,,3,NA,32,189,21.6625,1019.3125,7.541666667
12/1/1989,1989,335,48,6,,0,NA,32,189,21.6625,1019.3125,7.541666667
10/17/1990,1990,290,42,1,,51,NA,173,1212,25.09166667,1025.1,6.208333333
10/17/1990,1990,290,42,2,,186,NA,173,1212,25.09166667,1025.1,6.208333333
10/17/1990,1990,290,42,3,,90,NA,173,1212,25.09166667,1025.1,6.208333333
10/17/1990,1990,290,42,4,,12,NA,173,1212,25.09166667,1025.1,6.208333333
